t x y
2.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+01
3.000000000000000000e+00 1.760637008194632092e+00 3.640952667882492477e+01
4.000000000000000000e+00 2.305429418620111026e-01 4.501407862450702169e+01
5.000000000000000000e+00 2.833191100582085550e-02 4.231547068013108515e+01
6.000000000000000000e+00 4.159063576284567978e-03 3.847902889115839287e+01
7.000000000000000000e+00 7.365882643741766735e-04 3.484440346226288909e+01
8.000000000000000000e+00 1.554087669218600569e-04 3.153316208026135570e+01
9.000000000000000000e+00 3.825154310347135160e-05 2.853332828448212766e+01
1.000000000000000000e+01 1.087405061038966478e-05 2.581824526526192187e+01
1.100000000000000000e+01 3.599611184372424436e-06 2.336137388165129636e+01
1.200000000000000000e+01 1.290761363264594160e-06 2.113826393242677426e+01
1.300000000000000000e+01 5.519187409387203101e-07 1.912669452603024212e+01
1.400000000000000000e+01 2.209619647003496763e-07 1.730654628397839190e+01
1.500000000000000000e+01 1.543047120314144322e-07 1.565962152423621490e+01
1.600000000000000000e+01 7.845808735669683511e-08 1.416934332701972643e+01
1.700000000000000000e+01 3.511497738059813779e-08 1.282084958984829193e+01
1.800000000000000000e+01 2.469020032297373124e-08 1.160080822108157150e+01
1.900000000000000000e+01 3.158734527928004823e-08 1.049695773667521692e+01
2.000000000000000000e+01 3.043807995500198680e-08 9.498098379830839377e+00
2.100000000000000000e+01 2.137730295310558334e-08 8.594223598636562045e+00
2.200000000000000000e+01 1.572945611014298419e-08 7.776379760558046250e+00
2.300000000000000000e+01 1.203080603717068898e-08 7.036367710959114063e+00
